"BIOID","Account_Handle","Account_Type"
"1103110","D_Faure2012","OTWIT_TYPE_4"
"1103110","DFaure2012","OTWIT2"
"1103110","DomiFaure53","OTWIT3"
"1103201","jrcazeneuve","GOVTWIT"
"1103202","MaevaBourcier","PTWIT"
"1103301","T_Cazenave","GOVTWIT"
"1103302","cfabreAN","GOVTWIT"
"1103303","fabienrobert","GOVTWIT"
"1103304","MelissaKaraca33","GOVTWIT"
"1103305","KNouette","PTWIT"
"1103306","EPoulliat","GOVTWIT"
"1103306","PoulliatBattist","OTWIT_TYPE_2"
"1103307","BCouillard33","GOVTWIT"
"1103308","SoPanonacle","GOVTWIT"
"1103309","SophieMette1","GOVTWIT"
"1103310","florent_boudie","GOVTWIT"
"1103311","V_Hammerer","GOVTWIT"
"1103312","PascalLavergne_","GOVTWIT"
"1103401","MIRALLESMP","GOVTWIT"
"1103402","yagueannie","PTWIT"
"1103402","AnnieYague","OTWIT_TYPE_4"
"1103403","LaurenceCristol","PTWIT"
"1103404","JFEliaou","GOVTWIT"
"1103405","PhilippeHuppe","GOVTWIT"
"1103406","MathildeTastavy","PTWIT"
"1103407","ChristopheEuzet","GOVTWIT"
"1103408","JF_Audrin","PTWIT"
"1103409","PatrickVignal","GOVTWIT"
"1103409","Vignal2020","OTWIT_TYPE_2"
"1103501","hindsaoud","PTWIT"
"1103502","LMaillart","GOVTWIT"
"1103503","ChristopheMar38","PTWIT"
"1103503","ChMartins2022","OTWIT_TYPE_2"
"1103504","APATAULT","PTWIT"
"1103505","ChrisCloarec","GOVTWIT"
"1103506","ThierryBenoit35","GOVTWIT"
"1103507","AnneLegagne","GOVTWIT"
"1103508","F_BACHELIER","GOVTWIT"
"1103601","FJolivet36","GOVTWIT"
"1103701","Chalumeau_P","GOVTWIT"
"1103702","LabaronneDaniel","GOVTWIT"
"1103702","DLabaronne","PTWIT"
"1103704","fabiennecolboc","GOVTWIT"
"1103705","SabineThillaye","GOVTWIT"
"1103801","olivierveran","GOVTWIT"
"1103801","AvecVeran","OTWIT_TYPE_2"
"1103802","JCColasRoy","GOVTWIT"
"1103803","EmilieCChalas","GOVTWIT"
"1103804","LACROIXFanny9","PTWIT"
"1103804","fannyphilly","OTWIT_TYPE_4"
"1103805","Florenc19807417","PTWIT"
"1103807","PruvostPascale","PTWIT"
"1103808","AbadieCaroline","GOVTWIT"
"1103808","CaroAden","PTWIT"
"1103809","elodiejala","GOVTWIT"
"1103810","M_MeynierM","GOVTWIT"
