"BIOID","Account_Handle","Account_Type"
"1199909","1ElisaMoreno","GOVTWIT"
"1199910","Amelia_LKF","PTWIT"
"1199911","AGenetet","GOVTWIT"
"1200101","bretonxavier","GOVTWIT"
"1200102","alnanchi","OTWIT_TYPE_2"
"1200103","baude_veronique","OTWIT_TYPE_2"
"1200104","auraneReihanian","OTWIT_TYPE_2"
"1200201","PaulMgt","OTWIT_TYPE_2"
"1200202","JulienDive","GOVTWIT"
"1200203","JeromeMoineuse","PTWIT"
"1200203","MoineuseAux","OTWIT_TYPE_2"
"1200204","David_BOBIN","OTWIT_TYPE_2"
"1200205","GilquinJade","OTWIT_TYPE_2"
"1200303","NicolasRay03","OTWIT_TYPE_2"
"1200501","KevinParaC","PTWIT"
"1200601","ECiotti","GOVTWIT"
"1200606","TrastourIsnart","GOVTWIT"
"1200607","EricPAUGET1","GOVTWIT"
"1200609","MTabarot","PTWIT"
"1200702","MarcoQuenette","OTWIT_TYPE_2"
"1200703","FabriceBrun","PTWIT"
"1200801","marechalgui","PTWIT"
"1200802","CORDIERPierre08","GOVTWIT"
"1201002","VBazinMalgras","GOVTWIT"
"1201003","BaptisteGat","PTWIT"
"1201003","BGatouillat2022","OTWIT_TYPE_2"
"1201102","EstradeQuentin","OTWIT_TYPE_2"
"1201203","c_saintpierre","OTWIT_TYPE_2"
"1201301","Boualemsarah","OTWIT_TYPE_2"
"1201304","solangebiaggi","OTWIT_TYPE_2"
"1201306","DidierReault","OTWIT_TYPE_2"
"1201308","davidytier","OTWIT_TYPE_2"
"1201310","SergePerottino","OTWIT_TYPE_2"
"1201311","HerveLiberman","PTWIT"
"1201312","DiardEric","GOVTWIT"
"1201313","roubyisa07","PTWIT"
"1201314","Michelboulan","OTWIT_TYPE_2"
"1201315","Bernardreyns1","GOVTWIT"
"1201315","bernardreynes","PTWIT"
"1201315","bernard_reynes","OTWIT_TYPE_1"
"1201401","SophieSimonnet","OTWIT_TYPE_2"
"1201402","CamilleBrou2","PTWIT"
"1201403","nathporte","PTWIT"
"1201404","SophieGaugain","PTWIT"
"1201405","CdricNOUVELOT","PTWIT"
"1201501","VincentDescoeur","GOVTWIT"
"1201602","usagisan17","OTWIT_TYPE_2"
"1201702","labiche_david","OTWIT_TYPE_2"
"1201703","bertrandgiraud3","OTWIT_TYPE_2"
"1201704","RoffignacDe","OTWIT_TYPE_2"
"1201705","didierquentin","GOVTWIT"
"1201902","fmeunier19","PTWIT"
"1202101","dugourd_xavier","PTWIT"
"1202102","adrienhuguet","PTWIT"
"1202103","grandetvalerie","OTWIT_TYPE_2"
"1202105","charlottefougr","PTWIT"
"1202203","marclefur","GOVTWIT"
"1202401","EMarty24110","OTWIT_TYPE_2"
"1202402","aureliendelfour","PTWIT"
"1202403","MyriamThomasson","OTWIT_TYPE_2"
"1202404","basilefanier","PTWIT"
"1202503","FroppierChrist","OTWIT_TYPE_2"
"1202504","MatthieuBloch","OTWIT_TYPE_2"
"1202505","AnnieGenevard","GOVTWIT"
"1202601","VeroniquePugeat","OTWIT_TYPE_2"
"1202602","arnavon2022","PTWIT"
"1202603","paulberard26","PTWIT"
"1202604","eanthoine26","GOVTWIT"
"1202702","Maragliano27","OTWIT_TYPE_2"
"1202704","LantenoisP","OTWIT_TYPE_NA"
"1202801","LadislasVergne","OTWIT_TYPE_2"
"1202802","oliviermarleix","GOVTWIT"
"1202803","remimartial","PTWIT"
"1202804","EMeyblum","PTWIT"
"1202902","Annegelebart","PTWIT"
"1202902","AnnePaupy","OTWIT_TYPE_4"
"1202903","LEBIANFrancis","PTWIT"
"1202904","MC_Henaff","OTWIT_TYPE_2"
"1202905","BriantFelix","OTWIT_TYPE_2"
"1202906","GNicolas2017","OTWIT_TYPE_2"
"1202907","eric_le_guen","OTWIT_TYPE_2"
"1203002","F_Touzellier","OTWIT_TYPE_2"
"1203005","LeaBoyer30","OTWIT_TYPE_2"
"1203006","FrancoisCourdil","OTWIT_TYPE_2"
"1203101","mendegrisoscar","PTWIT"
"1203102","CgennaroSaint","PTWIT"
"1203103","LArribage","PTWIT"
"1203104","bertrandserp","PTWIT"
"1203104","B_Serp2017","OTWIT_TYPE_2"
"1203105","CheronnetJC","PTWIT"
"1203106","chrisalves81","PTWIT"
"1203106","chrisalves2022","OTWIT_TYPE_2"
"1203106","Kristofalves","OTWIT2"
"1203107","Toulouse61","PTWIT"
"1203109","DufraisseCcile1","PTWIT"
"1203109","dufraisse2022","OTWIT_TYPE_2"
"1203110","RespaudS","PTWIT"
"1203202","michel_gabas","OTWIT_TYPE_2"
"1203301","Njikam39046257","PTWIT"
"1203302","CunyDeCarli2022","PTWIT"
"1203302","Emmanuelle_Cuny","OTWIT_TYPE_2"
"1203303","AsiaDayan","PTWIT"
"1203306","ThomasDovichi","OTWIT_TYPE_2"
"1203307","BenoitRautureau","OTWIT_TYPE_2"
"1203308","Marc_Morin_","PTWIT"
"1203309","RCardoit","OTWIT_TYPE_2"
"1203401","ChaverocheEric","PTWIT"
"1203402","BriotValrie1","PTWIT"
"1203402","BriotValerie","OTWIT_TYPE_2"
"1203404","josephfrancis34","PTWIT"
"1203405","lewismarchand22","OTWIT_TYPE_2"
"1203406","FlorenceTailla1","OTWIT_TYPE_2"
"1203408","N_L_Roumanos","OTWIT_TYPE_2"
"1203409","BouscarainF","PTWIT"
"1203503","melparmentier","OTWIT_TYPE_2"
"1203505","jhouillot","PTWIT"
"1203506","TangiMarion","PTWIT"
"1203601","AlFruch","PTWIT"
"1203602","N_Forissier","GOVTWIT"
"1203701","OlivierLebreto5","OTWIT_TYPE_2"
"1203701","olebreton1","OTWIT2"
"1203703","SMetadier","OTWIT_TYPE_2"
"1203705","FBoigard","PTWIT"
"1203705","fabrice_boigard","OTWIT_TYPE_2"
"1203705","BoigardFabrice","OTWIT2"
"1203801","BrigitteBoer","PTWIT"
"1203802","FabienneSarrat","PTWIT"
"1203803","clementchappet","PTWIT"
"1203806","AnnickMerle38","PTWIT"
"1203807","yannickneuder","PTWIT"
"1203808","jcLassalle","PTWIT"
"1203810","AurelienLepretr","PTWIT"
"1203903","JustineGruet","PTWIT"
"1204002","mvernier5","PTWIT"
"1204101","Malikbenakcha","PTWIT"
"1204102","BioulacPascal","PTWIT"
"1204103","pascalbrindeau","GOVTWIT"
"1204201","alexiaostyn","PTWIT"
"1204202","MCamille_R","PTWIT"
"1204203","axel_dugua","PTWIT"
"1204204","DinoCinieri","GOVTWIT"
"1204204","CinieriDino","PTWIT"
"1204205","antoinevermorel","OTWIT_TYPE_2"
"1204206","JPIerre_Taite","OTWIT_TYPE_2"
"1204301","isavalentin43","GOVTWIT"
"1204302","J_Pvigier","GOVTWIT"
"1204401","anthonyberaud","PTWIT"
"1204402","ChombartDe","OTWIT_TYPE_2"
"1204403","SophieVG2022","PTWIT"
"1204404","PavageauSophie","PTWIT"
"1204406","franguyo","PTWIT"
"1204407","PLOUVIERB","PTWIT"
"1204408","AndreaPorcher","PTWIT"
"1204409","AlainLeCoz","PTWIT"
"1204409","lecoz_alain","OTWIT_TYPE_2"
"1204410","CharlottLuquiau","OTWIT_TYPE_2"
"1204501","ThierryCousin22","OTWIT_TYPE_2"
"1204502","HoussardA","PTWIT"
"1204503","Cdganay","GOVTWIT"
"1204504","Ariel_Levy45","PTWIT"
"1204506","Chrystel45","PTWIT"
"1204601","AurelienPradie","GOVTWIT"
"1204601","AvecPradie","OTWIT_TYPE_2"
"1204601","AvecPradie34","OTWIT2"
"1204601","AvecPradie30","OTWIT3"
"1204602","LouisBontemps","OTWIT_TYPE_2"
"1204701","bertrandgirardi","PTWIT"
"1204701","GirardiBertrand","OTWIT_TYPE_4"
"1204702","mcalzavara4702","PTWIT"
"1204703","jeanlouiscostes","OTWIT_TYPE_1"
"1204703","jlcostes_2022","OTWIT2"
"1204801","MORELPIERRE","GOVTWIT"
"1204901","rbrancour","PTWIT"
"1204903","AnneLaureBlin","GOVTWIT"
"1204904","RegineCatin","OTWIT_TYPE_2"
"1204906","gaillard_2014","PTWIT"
"1205001","phgosselin","GOVTWIT"
"1205002","toullecofficiel","PTWIT"
"1205003","jrbinet","PTWIT"
"1205101","beauvais2017","GOVTWIT"
"1205101","valbeauvais","PTWIT"
"1205201","delongsophie","PTWIT"
"1205202","FCornutGentille","GOVTWIT"
"1205301","AlexandreMrd53","PTWIT"
"1205302","sdirson","PTWIT"
"1205404","thibault_bazin","GOVTWIT"
"1205601","arsfrancois","PTWIT"
"1205601","FrancoisArs","OTWIT_TYPE_4"
"1205602","SLemoulinier","OTWIT_TYPE_2"
"1205606","KieferGuillaume","PTWIT"
"1205701","KuntzLouise","OTWIT_TYPE_2"
"1205701","LouiseKuntz","OTWIT2"
"1205702","hory2022","OTWIT_TYPE_2"
"1205702","horythierry","OTWIT2"
"1205703","ncolin_oesterle","OTWIT_TYPE_2"
"1205704","FabienDiFilippo","GOVTWIT"
"1205706","marcfriedrich5","PTWIT"
"1205708","raphaelleroosa","PTWIT"
"1205801","le_metayer_fra","PTWIT"
"1205901","FabreThomas","PTWIT"
"1205902","CBoisardVannier","OTWIT_TYPE_2"
"1205902","CBVannier","OTWIT2"
"1205904","sebast_leblanc","OTWIT_TYPE_2"
"1205905","SebastienHuyghe","GOVTWIT"
"1205906","LFoutry","PTWIT"
"1205907","six_valerie","GOVTWIT"
"1205907","sixvalerie2022","OTWIT_TYPE_2"
"1205908","AmineElbahii","OTWIT_TYPE_2"
"1205909","nicopapiachvili","PTWIT"
"1205910","Jerome_Garcia_","PTWIT"
"1205912","ClaudeDupont59","OTWIT_TYPE_2"
"1205913","demiribelvero","PTWIT"
"1205913","AvecVeronique","OTWIT_TYPE_2"
"1205914","FredericDevos_","OTWIT_TYPE_NA"
"1205916","MadyDorchies","OTWIT_TYPE_2"
"1205917","romain_boulant","PTWIT"
"1205918","GuyBricout","GOVTWIT"
"1205919","BrunoRACZKIEW19","OTWIT_TYPE_2"
"1206002","ThillAgnes","GOVTWIT"
"1206002","thill_agnes","OTWIT_TYPE_2"
"1206004","ADUMONTIER60700","PTWIT"
"1206005","PierreVatinOff","GOVTWIT"
"1206006","ASBFontaine","PTWIT"
"1206007","MaximeMinot","GOVTWIT"
"1206101","bernard_soul","PTWIT"
"1206102","verolouwagie","GOVTWIT"
"1206103","jeromenury","GOVTWIT"
"1206201","Mariebernard062","PTWIT"
"1206203","ClaudineLambre","PTWIT"
"1206204","marybonvoisin","PTWIT"
"1206206","Faustine_Maliar","PTWIT"
"1206207","phdumont","GOVTWIT"
"1206209","hakimelazouzi","PTWIT"
"1206211","ASTaszarek","PTWIT"
"1206301","GalpierS","OTWIT_TYPE_1"
"1206302","SylvainDurin","PTWIT"
"1206303","mamarchis","OTWIT_TYPE_1"
"1206304","FDubessy","OTWIT_TYPE_1"
"1206305","yvescourth","PTWIT"
"1206401","Sandrinlafargue","OTWIT_TYPE_1"
"1206403","F_Costedoat","OTWIT_TYPE_1"
"1206406","FabriceBACH2022","OTWIT_TYPE_2"
"1206601","CMoulenat","PTWIT"
"1206602","davidbret66","OTWIT_TYPE_1"
"1206603","Laurence_M66","OTWIT_TYPE_2"
"1206707","patrickhetzel","GOVTWIT"
"1206709","DenisRiedinger","PTWIT"
"1206801","YvesHemedinger","GOVTWIT"
"1206802","JCattin2017","GOVTWIT"
"1206802","CattinJacques","PTWIT"
"1206804","rscactu","GOVTWIT"
"1206805","ColomFlorian","PTWIT"
"1206901","AnnePROST5","PTWIT"
"1206901","AvecAnneProst","OTWIT_TYPE_2"
"1206902","MyriamFogel_J","OTWIT_TYPE_2"
"1206903","bdemontille","OTWIT_TYPE_1"
"1206904","p_blache","OTWIT_TYPE_1"
"1206905","BastienJoint","PTWIT"
"1206906","clementcharlieu","PTWIT"
"1206906","clem121314","OTWIT_TYPE_4"
"1206907","AlexVincendet","OTWIT_TYPE_1"
"1206908","NathalieSerre","GOVTWIT"
"1206909","AlexPortier69","PTWIT"
"1206910","SophieCruz2022","OTWIT_TYPE_2"
"1206911","p8vidal","OTWIT_TYPE_1"
"1206912","JeromeMoroge","OTWIT_TYPE_1"
"1206913","GillesGascon","PTWIT"
"1207002","coudereaucorinn","PTWIT"
"1207102","J_Corneloup","GOVTWIT"
"1207103","CharlesLandre","PTWIT"
"1207103","AvecLandre","OTWIT_TYPE_2"
"1207105","gillesplatret","GOVTWIT"
"1207105","AvecGPlatret","OTWIT_TYPE_2"
"1207105","JeunesPlatret","OTWIT2"
"1207201","LabretteMenager","OTWIT_TYPE_1"
"1207202","fle_forestier","OTWIT_TYPE_2"
"1207203","BEALATOUCHE","OTWIT_TYPE_2"
"1207204","emmanuelfranco7","OTWIT_TYPE_1"
"1207205","noa_lerosier","PTWIT"
"1207205","NoaLerosier","OTWIT_TYPE_2"
"1207302","VRolland73","GOVTWIT"
"1207303","BonnivardE","GOVTWIT"
"1207304","fgaudin73","PTWIT"
"1207401","Goau74","PTWIT"
"1207404","DubyMuller","GOVTWIT"
"1207406","XavierChantelot","PTWIT"
"1207501","vbaladi","OTWIT_TYPE_1"
"1207502","jp_lecoq","OTWIT_TYPE_1"
"1207502","JPLecoq2022","OTWIT2"
"1207503","Alix_Bougeret","OTWIT_TYPE_2"
"1207504","brigitte_kuster","GOVTWIT"
"1207506","JCMartin75011","GOVTWIT"
"1207507","aurelien_veron","OTWIT_TYPE_2"
"1207508","VMontandon","OTWIT_TYPE_1"
"1207508","Le12avecValerie","OTWIT2"
"1207509","jb_olivier","OTWIT_TYPE_1"
"1207510","habib_shoukry","OTWIT_TYPE_1"
"1207511","MCCG","OTWIT_TYPE_1"
"1207511","nouscestparis","OTWIT2"
"1207512","jeromeloriau","OTWIT_TYPE_1"
"1207512","JLoriau2022","OTWIT2"
"1207514","fszpiner","OTWIT_TYPE_1"
"1207515","fmdidier","OTWIT_TYPE_1"
"1207516","MarieToubiana","OTWIT_TYPE_2"
"1207517","angeliquemparis","OTWIT_TYPE_1"
"1207518","rudolphgranier","OTWIT_TYPE_1"
"1207601","mariehroux76","OTWIT_TYPE_2"
"1207602","jonashaddad","OTWIT_TYPE_1"
"1207605","LfxEddy","OTWIT_TYPE_2"
"1207606","LeducUdi","PTWIT"
"1207607","jacquesforesti1","PTWIT"
"1207701","jullemier2017","OTWIT_TYPE_2"
"1207701","jullemier2022","OTWIT2"
"1207702","isoline_millot","PTWIT"
"1207702","GarreauIsoline","OTWIT_TYPE_1"
"1207703","jl_thieriot","GOVTWIT"
"1207704","IsabellePERIGA2","PTWIT"
"1207704","IsabellePeriga1","OTWIT_TYPE_2"
"1207705","nicolascaux","OTWIT_TYPE_2"
"1207706","rezeg_hamida","PTWIT"
"1207707","patrick_jahier","OTWIT_TYPE_1"
"1207708","delphmairiaux","PTWIT"
"1207709","GuyGeoffroy","OTWIT_TYPE_1"
"1207711","JoelSangare","PTWIT"
"1207801","DELAFAIRE","PTWIT"
"1207801","odelafr","OTWIT_TYPE_1"
"1207802","PascalThevenot","PTWIT"
"1207803","BerCoquard","OTWIT_TYPE_2"
"1207804","CharlesConsigny","PTWIT"
"1207805","ADublanche","OTWIT_TYPE_2"
"1207805","AD2022Montesson","OTWIT2"
"1207805","AD2022Sartrou","OTWIT3"
"1207805","AD2022LeMesnil","OTWIT4"
"1207805","AD2022MLF","OTWIT5"
"1207806","MontbrialAvocat","OTWIT_TYPE_2"
"1207808","MichelVialay","GOVTWIT"
"1207809","PaulineWL2022","OTWIT_TYPE_2"
"1207810","Anne_Cabrit","OTWIT_TYPE_2"
"1207811","PhilipBenassaya","GOVTWIT"
"1207902","EmilieBaudrez","PTWIT"
"1207903","philipperobin79","PTWIT"
"1208001","_MathildeRoy","OTWIT_TYPE_1"
"1208002","DevauxVly","PTWIT"
"1208003","emmanuel_maquet","GOVTWIT"
"1208004","vincentjacques","PTWIT"
"1208005","gregorylabille1","GOVTWIT"
"1208101","RodolphePires","PTWIT"
"1208103","GuilhemCarayon","OTWIT_TYPE_2"
"1208201","vigourouxclaude","PTWIT"
"1208301","PhilippeVitel","GOVTWIT"
"1208301","vitel2014","OTWIT_TYPE_2"
"1208302","Argento_Julien","PTWIT"
"1208303","ValerieRialland","PTWIT"
"1208304","hamel_st_tropez","PTWIT"
"1208305","MaurindMaures","PTWIT"
"1208307","romainvince83","PTWIT"
"1208308","GuillaumeJUBLOT","OTWIT_TYPE_4"
"1208401","domiebrogi","OTWIT_TYPE_2"
"1208401","AvecBrogi","OTWIT2"
"1208402","ElisabethAmoros","PTWIT"
"1208405","JulienAubert84","PTWIT"
"1208501","LaurentCaillau1","PTWIT"
"1208502","MaxencedeRugy","PTWIT"
"1208503","ablanchard31","PTWIT"
"1208601","JeromeNeveux86","PTWIT"
"1208603","LeonardZerbib","OTWIT_TYPE_2"
"1208702","jmb1602","PTWIT"
"1208702","JeanMarieBost1","OTWIT_TYPE_2"
"1208703","gilles_toulza","PTWIT"
"1208801","ViryStephane","GOVTWIT"
"1208804","JJ_Gaultier","GOVTWIT"
"1208901","Glarrive","GOVTWIT"
"1208903","pirman_gilles","OTWIT_TYPE_2"
"1208903","PirmanGilles","OTWIT2"
"1209001","IanBoucard","GOVTWIT"
"1209002","MichelZumkeller","GOVTWIT"
"1209101","samira_ketfi","OTWIT_TYPE_2"
"1209103","Isa_perdereau","OTWIT_TYPE_2"
"1209104","JeremyMartinOff","OTWIT_TYPE_2"
"1209105","michelbournat","PTWIT"
"1209106","ChantalFarges","OTWIT_TYPE_2"
"1209106","chantallacarri3","OTWIT2"
"1209108","NicolasDohin","PTWIT"
"1209109","fatenhidri","PTWIT"
"1209110","NBoishue","OTWIT_TYPE_2"
"1209201","AbdelazizBENTAJ","PTWIT"
"1209203","philippejuvin","PTWIT"
"1209205","pchassat","OTWIT_TYPE_2"
"1209206","PatrickPessis","PTWIT"
"1209207","Xabi_Elz","PTWIT"
"1209208","CcRichez","OTWIT_TYPE_2"
"1209209","2022Louap","PTWIT"
"1209212","Blot2022","PTWIT"
"1209213","numaisnard","PTWIT"
"1209301","Fpeguillet","PTWIT"
"1209302","sinaa_thabet","OTWIT_TYPE_2"
"1209303","HaraldPoillot","PTWIT"
"1209305","jclagarde","GOVTWIT"
"1209306","Kourt_Sackho","PTWIT"
"1209307","MADIINOUSHH","PTWIT"
"1209307","BoucabeilleMadi","OTWIT_TYPE_2"
"1209308","GeoffreyCarva","PTWIT"
"1209310","alainramadier","GOVTWIT"
"1209311","emmanuel_naud","PTWIT"
"1209312","LudovicToro","PTWIT"
"1209401","germainroesch","OTWIT_TYPE_2"
"1209403","gonzales94290","OTWIT_TYPE_2"
"1209403","VilleneuveLR","OTWIT2"
"1209404","mcciuntu","PTWIT"
"1209405","paulbazin","OTWIT_TYPE_2"
"1209407","VincentJeanbrun","OTWIT_TYPE_2"
"1209407","jeanbrun2017","OTWIT2"
"1209408","MichelHerbillon","GOVTWIT"
"1209410","Alex_JOUBERT_","PTWIT"
"1209411","BounegtaM","OTWIT_TYPE_2"
"1209501","antoine7595","GOVTWIT"
"1209502","FredPain2022","PTWIT"
"1209503","SarahNerozziB","OTWIT_TYPE_2"
"1209504","Patrick_Boulle","OTWIT_TYPE_2"
"1209505","GillesSavry","OTWIT_TYPE_2"
"1209506","flament2022","OTWIT_TYPE_2"
"1209506","nicolasflament","OTWIT2"
"1209507","a_topuzovic","PTWIT"
"1209509","arciero95","OTWIT_TYPE_2"
"1209510","Patricia_JOSE95","OTWIT_TYPE_2"
"1297102","DuniereF","PTWIT"
"1297204","JeanMarcLUSBEC","PTWIT"
"1297402","AudChlo","PTWIT"
"1297404","David_Lorion","GOVTWIT"
"1297405","FouassinS","PTWIT"
"1297406","NadiaRamassamy","GOVTWIT"
"1297602","Kamardine_M","GOVTWIT"
"1298801","Ruffenachvirgi1","PTWIT"
"1298802","ThierrySanta","PTWIT"
"1298802","thierry_santa","OTWIT_TYPE_NA"
"1299901","pcaraco","OTWIT_TYPE_2"
"1299902","BertrandYDupont","OTWIT_TYPE_2"
"1299903","ArtusGaliay","OTWIT_TYPE_2"
"1299904","G_Machicote","OTWIT_TYPE_2"
"1299905","GoaterLaurent","OTWIT_TYPE_2"
"1299906","RegineMazloum","OTWIT_TYPE_2"
"1299907","PhilippeDeswel","PTWIT"
"1299907","pecresse2022_at","OTWIT_TYPE_2"
"1299908","Meyer_Habib","GOVTWIT"
"1299909","naimamfaddel","OTWIT_TYPE_2"
"1299910","aurelie_pirillo","OTWIT_TYPE_2"
"1299911","MartinCatya","OTWIT_TYPE_2"
"1300101","SebGueraud","PTWIT"
"1300101","Gueraud1ere","OTWIT_TYPE_2"
"1300102","lumirlapray","PTWIT"
"1300202","SulyvanRansquin","OTWIT_TYPE_2"
"1300203","jlbricout","GOVTWIT"
"1300204","Gall_PCF02","PTWIT"
"1300204","PcfGall","OTWIT_TYPE_NA"
"1300301","YannickMonnet3","PTWIT"
"1300302","heritier_louise","PTWIT"
"1300302","LouiseHeritier","OTWIT_TYPE_4"
"1300302","HeritierLouiz","OTWIT2"
"1300303","Denferd2022","OTWIT_TYPE_2"
"1300401","DBagarry","GOVTWIT"
"1300401","DelphineBagarry","PTWIT"
"1300402","LeoWalter04","PTWIT"
"1300501","PhilippoMichel","PTWIT"
"1300502","CapucineMounal","PTWIT"
"1300601","ChaintronAnne","PTWIT"
"1300602","NaffatiSonia","PTWIT"
"1300604","BournotSophie","PTWIT"
"1300605","PhilBenassaya","PTWIT"
"1300606","MazellaNicole","PTWIT"
"1300606","nicoleberre","OTWIT_TYPE_4"
"1300607","UnionPopAntibes","OTWIT_TYPE_2"
"1300608","SoudantL","PTWIT"
"1300701","hsaulignac","GOVTWIT"
"1300802","LoyezGilles","PTWIT"
"1300901","BenedictTaurine","PTWIT"
"1300902","Michel_Larive","GOVTWIT"
"1300902","Milarrout","PTWIT"
"1301002","SFraincart2022","PTWIT"
"1301003","GSeffals2022","PTWIT"
"1301101","SophieCalmon","PTWIT"
"1301102","VivianeThivent","PTWIT"
"1301103","AddaJohann","PTWIT"
"1301201","LeonThebault","PTWIT"
"1301201","Thebault2022","OTWIT_TYPE_NA"
"1301301","ThibaudRosique","PTWIT"
"1301302","AlexRupnik","PTWIT"
"1301303","MoBensaada","PTWIT"
"1301304","mbompard","GOVTWIT"
"1301305","hendrik_davi","PTWIT"
"1301306","MagaliHolagne","PTWIT"
"1301307","sebastiendelogu","PTWIT"
"1301309","Lucas_Trottmann","PTWIT"
"1301310","MarinaMesure","PTWIT"
"1301311","Salord_NUPES_22","PTWIT"
"1301312","ChvIsabelle","PTWIT"
"1301313","pdharreville","GOVTWIT"
"1301314","LNLeCacheux","PTWIT"
"1301315","MicheleJung13","PTWIT"
"1301316","CCAILLAULT","PTWIT"
"1301401","emma_frr","PTWIT"
"1301402","ArthurDelaporte","PTWIT"
"1301403","DidierCanu","PTWIT"
"1301404","PierreMouraret","PTWIT"
"1301405","Harel2022","PTWIT"
"1301405","SoutienHarel2","OTWIT_TYPE_NA"
"1301406","GauchardNoe","PTWIT"
"1301601","PilatoRene","PTWIT"
"1301603","mariepierrenol1","PTWIT"
"1301701","JMSoubeste","PTWIT"
"1301702","Nordine_r","PTWIT"
"1301703","geralddahan","PTWIT"
"1301704","DanileDesselle1","PTWIT"
"1301801","Ax_Charpentier","PTWIT"
"1301802","NicolasSansu","PTWIT"
"1301803","Alienor1803","PTWIT"
"1302101","antoinepeillon","PTWIT"
"1302101","AntoineMaesgdg","OTWIT_TYPE_4"
"1302101","AntoineMaesjbd","OTWIT2"
"1302101","AntoinePeillonj","OTWIT3"
"1302101","AntoineMaessuy","OTWIT4"
"1302102","CatHervieu","PTWIT"
"1302102","CatHervieu2102","OTWIT_TYPE_NA"
"1302103","PatriciaMarcLFI","PTWIT"
"1302104","StephaneGuinot","PTWIT"
"1302203","AntoineRavard","PTWIT"
"1302205","Insoumis225","OTWIT_TYPE_2"
"1302401","PascaleMartin24","PTWIT"
"1302403","GCyrilFI","PTWIT"
"1302404","speytavie","PTWIT"
"1302501","SEVERINEvez","PTWIT"
"1302502","RavacleyS","PTWIT"
"1302603","MariePochon","PTWIT"
"1302604","PJouvet","PTWIT"
"1302701","Lafontanelle","PTWIT"
"1302702","SamsonNathalie7","PTWIT"
"1302703","NUPES2703","PTWIT"
"1302704","p_brun","PTWIT"
"1302704","PhilippeBrun91","OTWIT_TYPE_2"
"1302705","PYJourdain2022","PTWIT"
"1302801","qguillemain","PTWIT"
"1302801","N","OTWIT2"
"1302802","BoeteKevin","PTWIT"
"1302803","ValeriaOrfila","PTWIT"
"1302902","pycadalen","PTWIT"
"1302903","PierreSlz","PTWIT"
"1302904","SVulpiani","PTWIT"
"1302905","NSarrabezolles","PTWIT"
"1302908","Youennleflao","PTWIT"
"1303001","Charles__menard","PTWIT"
"1303002","debout30","PTWIT"
"1303003","OromiSabine","PTWIT"
"1303004","arnaud_bord","PTWIT"
"1303005","AvecMichelSala","OTWIT_TYPE_2"
"1303006","ncadene","PTWIT"
"1303101","HadrienClouet","PTWIT"
"1303102","Anne_Stambach","PTWIT"
"1303103","RobyAgathe","PTWIT"
"1303104","FraPiquemal","PTWIT"
"1303105","s_espagnolleFI","PTWIT"
"1303106","FabienJouve","PTWIT"
"1303106","FabienJouve2022","OTWIT_TYPE_2"
"1303107","ChristopheBex","PTWIT"
"1303107","BexChristophe","OTWIT_TYPE_4"
"1303108","AnnabelleFauve","PTWIT"
"1303109","ChArrighi","PTWIT"
"1303109","francinesan","OTWIT_TYPE_2"
"1303110","AssierAlice","PTWIT"
"1303202","fdubos32","PTWIT"
"1303301","CatherineCesta","PTWIT"
"1303302","nthierry","PTWIT"
"1303302","JeunesNTNA","OTWIT_TYPE_2"
"1303303","PrudhommeLoic","GOVTWIT"
"1303304","AlainDavid_AN","PTWIT"
"1303306","VanessaFergeau","PTWIT"
"1303307","JrFerran2022","PTWIT"
"1303307","JRenaudFerran","OTWIT_TYPE_4"
"1303309","sachaandre3309","PTWIT"
"1303310","PsclBourgois","PTWIT"
"1303311","Gironde11Union","OTWIT_TYPE_2"
"1303401","Colet_Julien","OTWIT_TYPE_2"
"1303401","colet_fi34","OTWIT2"
"1303402","NathalieOziol","PTWIT"
"1303403","JuliaMignacca","PTWIT"
"1303404","SebRome","PTWIT"
"1303405","pierre_polard","PTWIT"
"1303406","CrozierMagali","PTWIT"
"1303406","UP_du_Biterrois","OTWIT_TYPE_2"
"1303407","GabrielBlasco34","PTWIT"
"1303408","Sylv20CARRIERE","OTWIT_TYPE_2"
"1303409","NadiaBelaouni","PTWIT"
"1303501","MathieuFrdric","OTWIT_TYPE_2"
"1303502","tlahais","PTWIT"
"1303503","claudia_rouaux","GOVTWIT"
"1303503","ClaudiaRouaux","PTWIT"
"1303504","MHignet","GOVTWIT"
"1303505","GillesRenault35","OTWIT_TYPE_2"
"1303508","MickaelBouloux","PTWIT"
"1303601","Elo1seGonzalez","OTWIT_TYPE_2"
"1303602","AymericCompain","PTWIT"
"1303701","cfourniereelv","PTWIT"
"1303702","GobertNupes","OTWIT_TYPE_2"
"1303703","RoxaneSirven","PTWIT"
"1303704","BaumelLaurent","PTWIT"
"1303704","laurentbaumel","OTWIT_TYPE_4"
"1303801","SalomeRobinD","OTWIT_TYPE_2"
"1303802","Cyrielle_Lisa","PTWIT"
"1303803","ElisaMartinGre","OTWIT_TYPE_2"
"1303804","BattistelMarie","GOVTWIT"
"1303804","MarieBattistel","PTWIT"
"1303805","iordanoff","PTWIT"
"1303806","FillonFinas","PTWIT"
"1303808","DogonQ","PTWIT"
"1303810","allan_adb","PTWIT"
"1303901","AnthonyBrondel","PTWIT"
"1303902","TernantEvelyne","PTWIT"
"1303902","EvelyneTernant","OTWIT_TYPE_4"
"1303902","TernantE","OTWIT2"
"1304003","BorisVallaud","GOVTWIT"
